id,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,class_name
478,x,b,x,o,o,o,b,x,b,negative
479,b,x,b,o,x,o,b,x,b,positive
480,o,o,o,b,x,x,b,b,x,negative
481,x,x,o,x,b,o,o,x,o,negative
482,x,o,o,x,b,b,x,b,b,positive
483,x,o,x,b,x,o,b,o,x,positive
484,x,b,x,b,x,o,o,o,x,positive
485,o,o,o,x,x,o,x,x,b,negative
486,b,o,b,x,o,x,b,o,x,negative
487,o,b,x,b,o,x,b,b,x,positive
488,b,o,o,x,x,x,x,o,b,positive
489,x,o,x,x,o,o,o,x,x,negative
490,o,b,o,x,x,x,x,b,o,positive
491,x,x,b,x,o,x,o,o,o,negative
492,x,b,x,x,o,b,x,o,o,positive
493,x,b,x,o,x,o,b,o,x,positive
494,o,o,o,b,x,x,b,x,b,negative
495,x,b,o,o,b,o,x,x,x,positive
496,o,o,b,x,b,o,x,x,x,positive
497,b,o,x,b,b,x,b,o,x,positive
498,o,b,x,b,x,o,x,b,b,positive
499,o,o,x,x,x,o,x,o,x,positive
500,o,x,o,b,x,o,x,x,b,positive
501,o,x,x,x,x,o,o,o,x,negative
502,x,x,x,o,b,b,x,o,o,positive
503,x,x,x,o,b,b,o,b,b,positive
504,o,x,o,x,o,b,o,x,x,negative
505,b,x,o,b,x,o,o,x,x,positive
506,x,x,x,o,x,o,b,b,o,positive
507,x,o,o,o,o,x,x,x,x,positive
508,o,x,x,x,o,x,o,b,o,negative
509,x,b,b,o,x,o,o,x,x,positive
510,x,o,b,o,b,o,x,x,x,positive
511,o,o,o,b,x,b,b,x,x,negative
512,o,x,b,x,o,b,x,b,o,negative
513,x,x,o,x,o,o,x,o,x,positive
514,x,x,x,b,x,o,o,o,b,positive
515,b,o,b,b,b,o,x,x,x,positive
516,o,x,x,o,o,x,o,x,b,negative
517,x,b,o,o,o,b,x,x,x,positive
518,o,b,x,o,b,b,o,x,x,negative
519,o,x,o,o,x,o,x,x,x,positive
520,x,x,x,x,o,o,o,x,o,positive
521,o,b,o,x,o,b,x,x,x,positive
522,o,x,b,o,b,x,o,x,b,negative
523,b,b,x,b,x,x,o,o,o,negative
524,o,x,o,x,x,o,x,o,x,negative
525,x,o,b,o,o,x,x,o,x,negative
526,x,x,o,o,x,x,o,x,o,positive
527,o,o,x,o,o,x,x,x,x,positive
528,o,o,o,b,x,x,x,b,b,negative
529,x,o,x,o,x,o,b,b,x,positive
530,x,o,o,x,o,b,x,x,b,positive
531,o,o,o,b,x,b,x,b,x,negative
532,x,o,x,o,x,b,x,o,b,positive
533,x,x,o,x,o,o,o,x,b,negative
534,o,b,x,b,x,o,x,o,x,positive
535,x,b,x,o,o,o,b,b,x,negative
536,x,b,x,o,x,b,o,o,x,positive
537,o,x,o,o,x,x,o,b,x,negative
538,o,o,x,x,x,o,o,x,x,negative
539,x,x,o,o,x,b,o,x,b,positive
540,o,o,x,b,x,x,x,b,o,positive
541,x,b,o,b,o,x,o,b,x,negative
542,x,x,o,x,o,x,o,b,o,negative
543,b,o,x,b,x,x,x,o,o,positive
544,o,o,x,b,b,x,b,b,x,positive
545,o,b,x,x,o,b,x,b,o,negative
546,x,o,o,b,x,x,o,b,x,positive
547,o,b,x,o,x,b,x,b,b,positive
548,o,x,b,o,o,b,x,x,x,positive
549,x,o,o,o,x,x,x,x,o,negative
550,o,x,x,b,x,b,x,o,o,positive
551,x,x,o,o,x,o,b,b,x,positive
552,x,o,x,x,o,b,x,b,o,positive
553,x,b,o,x,o,b,o,x,b,negative
554,x,o,x,o,o,x,x,x,o,negative
555,o,x,x,o,x,o,x,o,x,positive
556,b,o,x,b,o,b,x,o,x,negative
557,x,o,b,b,x,o,o,x,x,positive
558,x,x,o,o,x,x,x,o,o,negative
559,x,x,x,x,b,o,b,o,o,positive
560,b,o,o,b,o,x,x,x,x,positive
561,o,b,x,x,x,x,o,o,b,positive
562,b,x,o,x,x,o,x,o,o,negative
563,x,b,o,o,x,o,x,x,o,negative
564,o,b,x,b,o,x,o,x,x,positive
565,b,x,b,o,x,x,o,x,o,positive
566,o,x,x,o,x,o,x,b,b,positive
567,b,x,o,x,o,o,x,x,o,negative
568,o,o,b,x,x,x,b,b,b,positive
569,b,o,x,o,o,x,b,x,x,positive
570,x,b,o,b,x,b,b,o,x,positive
571,x,b,b,x,o,o,x,x,o,positive
572,b,x,o,o,x,b,x,x,o,positive
573,x,b,o,b,x,o,b,x,o,negative
574,x,o,o,b,x,o,x,b,x,positive
575,o,o,x,x,x,o,x,x,o,positive
576,o,x,b,b,o,b,x,x,o,negative
577,b,x,o,o,x,o,x,x,b,positive
578,b,o,b,b,o,x,x,o,x,negative
579,b,o,x,b,x,x,o,o,x,positive
580,x,x,x,b,o,x,o,o,b,positive
581,b,x,x,o,x,o,x,o,b,positive
582,x,x,o,x,o,b,x,o,b,positive
583,o,x,o,x,o,x,o,b,x,negative
584,x,o,b,o,x,b,o,x,x,positive
585,x,b,b,x,b,o,x,o,b,positive
586,o,b,o,o,b,x,x,x,x,positive
587,x,x,o,o,o,b,o,x,x,negative
588,b,o,x,b,x,o,x,o,x,positive
589,o,b,b,x,o,b,x,x,o,negative
590,b,x,b,x,b,x,o,o,o,negative
591,b,o,o,x,o,x,x,o,x,negative
592,o,x,x,x,x,o,o,x,o,positive
593,x,o,b,b,x,o,b,b,x,positive
594,o,o,x,x,o,o,x,x,x,positive
595,o,o,x,x,x,o,x,b,b,positive
596,x,o,b,x,b,o,x,x,o,positive
597,b,o,x,o,x,o,x,b,x,positive
598,o,x,b,o,x,b,o,b,x,negative
599,o,o,o,x,x,b,b,b,x,negative
600,b,x,o,b,o,b,o,x,x,negative
601,o,b,x,o,b,x,b,b,x,positive
602,x,b,b,x,o,b,x,o,b,positive
603,x,x,x,b,o,b,b,o,b,positive
604,b,o,x,b,x,o,x,b,b,positive
605,o,x,b,b,x,b,o,x,b,positive
606,o,x,o,x,x,o,x,b,o,negative
607,x,x,o,b,x,o,o,x,b,positive
608,o,b,o,b,o,x,x,x,x,positive
609,o,x,o,x,o,x,b,x,o,negative
610,x,o,x,o,x,o,o,x,x,positive
611,b,b,o,o,o,x,x,x,x,positive
612,x,b,x,o,x,o,x,b,o,positive
613,x,b,b,o,o,o,b,x,x,negative
614,x,b,o,o,x,o,b,x,x,positive
615,x,x,x,o,x,b,b,o,o,positive
616,x,o,b,b,x,x,o,o,x,positive
617,x,x,b,x,o,o,x,b,o,positive
618,o,x,o,x,o,x,x,o,x,negative
619,o,x,x,x,o,x,b,o,o,negative
620,x,b,x,o,o,x,o,b,x,positive
621,x,x,o,o,o,x,x,x,o,negative
622,o,x,x,o,b,x,o,b,b,negative
623,x,x,x,b,o,b,b,b,o,positive
624,x,o,x,o,x,x,x,o,o,positive
625,o,o,o,x,b,x,x,o,x,negative
626,x,o,x,x,o,b,o,o,x,negative
627,o,o,x,b,x,x,o,b,x,positive
628,x,x,x,b,b,o,x,o,o,positive
629,x,o,o,x,b,o,x,b,x,positive
630,x,o,x,b,b,x,o,o,x,positive
631,b,b,o,x,o,o,x,x,x,positive
632,x,x,o,o,x,o,b,x,b,positive
633,x,x,b,x,b,o,x,o,o,positive
634,o,x,x,o,o,b,x,x,o,negative
635,x,o,o,x,x,b,o,b,x,positive
636,x,x,x,b,o,o,b,x,o,positive
637,b,b,x,o,o,x,x,o,x,positive
638,o,b,x,x,o,x,o,b,x,positive
639,x,x,b,b,b,x,o,o,o,negative
640,b,b,x,o,x,o,x,b,b,positive
641,o,o,x,b,o,x,x,b,x,positive
642,o,x,o,b,b,o,x,x,x,positive
643,b,x,b,o,x,o,x,x,o,positive
644,b,o,o,b,x,o,x,x,x,positive
645,x,o,x,b,x,o,x,o,b,positive
646,o,x,o,o,x,x,b,x,b,positive
647,b,b,o,b,x,o,x,x,o,negative
648,x,o,b,o,x,b,x,o,x,positive
649,o,b,x,b,o,o,x,x,x,positive
650,o,o,b,x,o,x,x,o,x,negative
651,x,x,o,o,x,b,o,b,x,positive
652,o,x,x,o,b,x,b,o,x,positive
653,o,x,b,x,x,o,b,x,o,positive
654,b,x,b,x,x,b,o,o,o,negative
655,x,x,o,b,x,o,b,o,x,positive
656,x,b,x,o,o,x,b,o,x,positive
657,o,x,o,x,o,x,x,b,o,negative
658,o,o,x,x,o,x,b,x,o,negative
659,o,b,b,x,x,x,b,b,o,positive
660,x,o,x,b,x,x,o,o,o,negative
661,b,x,x,o,o,o,x,b,b,negative
662,b,b,x,x,x,b,o,o,o,negative
663,b,o,x,o,b,x,x,o,x,positive
664,x,x,x,x,o,o,o,b,b,positive
665,o,x,x,b,x,x,o,o,o,negative
666,o,x,b,o,b,o,x,x,x,positive
667,x,o,x,o,o,b,x,o,x,negative
668,o,o,o,b,x,b,x,x,b,negative
669,b,b,x,o,x,b,x,b,o,positive
670,x,x,x,b,b,b,o,b,o,positive
671,x,x,o,b,o,x,o,o,x,negative
672,o,o,o,x,x,b,o,x,x,negative
673,x,x,o,o,x,o,x,o,x,positive
674,x,b,b,x,b,x,o,o,o,negative
675,b,b,x,x,o,x,o,o,x,positive
676,o,x,x,b,x,o,o,x,b,positive
677,b,x,o,o,x,x,b,x,o,positive
678,x,b,b,x,x,o,o,o,x,positive
679,x,x,b,o,o,o,x,o,x,negative
680,b,b,x,o,x,o,x,x,o,positive
681,b,o,b,x,x,x,o,o,x,positive
682,o,o,o,b,x,x,x,o,x,negative
683,o,o,b,x,x,x,o,x,b,positive
684,b,x,o,x,x,x,o,o,b,positive
685,x,b,o,x,b,b,x,o,b,positive
686,x,o,b,x,o,b,x,b,b,positive
687,o,o,b,o,x,b,x,x,x,positive
688,o,o,b,x,x,x,b,x,o,positive
689,o,o,x,b,b,x,o,x,x,positive
690,x,o,x,x,x,b,o,o,o,negative
691,o,b,x,o,x,b,x,x,o,positive
692,o,x,o,o,x,b,b,x,x,positive
693,x,x,x,x,o,o,b,b,o,positive
694,o,x,b,b,x,o,o,x,x,positive
695,x,x,x,o,b,o,b,x,o,positive
696,x,o,x,o,o,x,x,o,b,negative
697,o,x,x,x,b,x,o,o,o,negative
698,x,b,b,b,x,o,b,o,x,positive
699,x,x,o,o,o,o,x,b,x,negative
700,o,x,x,o,b,b,o,x,b,negative
701,b,x,o,b,o,x,o,b,x,negative
702,x,o,o,x,x,x,b,o,b,positive
703,o,o,x,b,b,o,x,x,x,positive
704,x,x,o,x,b,o,b,b,o,negative
705,b,x,o,b,x,b,o,x,b,positive
706,o,x,x,o,x,b,x,b,o,positive
707,b,o,o,x,o,x,o,x,x,negative
708,b,o,b,o,x,o,x,x,x,positive
709,o,b,b,x,o,x,b,x,o,negative
710,x,b,x,x,o,o,x,b,o,positive
711,x,x,x,b,b,b,o,o,b,positive
712,x,x,x,o,x,o,o,o,x,positive
713,b,o,o,o,b,x,x,x,x,positive
714,x,x,b,o,x,o,b,x,o,positive
715,b,b,x,b,x,b,x,o,o,positive
716,x,x,o,o,o,x,o,x,b,negative
717,b,b,x,x,b,x,o,o,o,negative
718,b,b,x,x,x,o,x,o,o,positive
719,o,o,b,o,b,x,x,x,x,positive
720,o,b,o,x,x,x,b,o,x,positive
721,o,b,x,o,o,b,x,x,x,positive
722,o,x,x,b,x,b,o,x,o,positive
723,b,o,x,o,b,x,o,x,x,positive
724,b,x,o,x,o,b,o,b,x,negative
725,x,x,x,o,b,o,x,b,o,positive
726,x,o,x,o,x,o,x,x,o,positive
727,b,b,o,o,x,o,x,x,x,positive
728,x,o,o,x,x,x,o,o,x,positive
729,b,b,b,b,o,o,x,x,x,positive
730,b,b,b,o,o,b,x,x,x,positive
731,x,x,x,o,b,x,b,o,o,positive
732,b,b,x,o,b,x,b,o,x,positive
733,o,o,o,x,x,b,x,b,b,negative
734,x,o,x,b,o,x,b,o,b,negative
735,x,x,x,o,b,o,b,o,x,positive
736,x,x,o,x,o,o,b,x,o,negative
737,x,x,x,o,o,x,b,o,b,positive
738,x,b,x,x,b,o,x,o,o,positive
739,x,o,o,x,o,x,b,o,x,negative
740,b,o,o,x,x,x,o,b,x,positive
741,b,o,x,o,x,x,o,b,x,positive
742,x,x,b,o,x,o,b,o,x,positive
743,x,o,o,x,b,b,x,x,o,positive
744,o,b,x,o,b,o,x,x,x,positive
745,o,x,b,b,x,o,x,x,o,positive
746,o,o,x,o,x,b,x,x,b,positive
747,x,b,b,x,x,b,o,o,o,negative
748,x,o,b,b,o,b,x,o,x,negative
749,x,o,b,o,x,x,o,b,x,positive
750,o,o,b,x,x,x,x,o,b,positive
751,b,b,o,x,x,x,o,b,b,positive
752,o,b,o,x,x,x,b,b,b,positive
753,x,x,x,o,o,b,o,x,b,positive
754,o,x,x,o,o,x,x,o,x,positive
755,b,b,o,o,b,b,x,x,x,positive
756,b,o,x,b,x,b,x,b,o,positive
757,o,b,b,x,x,x,b,o,b,positive
758,x,x,b,b,x,o,o,o,x,positive
759,b,x,x,x,o,x,o,o,o,negative
760,b,o,x,b,x,b,x,o,b,positive
761,x,x,x,o,b,o,b,b,b,positive
762,o,o,x,b,x,o,x,b,x,positive
763,o,b,x,o,x,x,x,o,b,positive
764,o,o,x,x,o,x,x,b,o,negative
765,x,o,x,x,b,b,x,o,o,positive
766,x,b,o,x,b,o,b,x,o,negative
767,b,x,x,o,o,o,b,b,x,negative
768,x,o,x,x,o,o,x,x,o,positive
769,x,x,o,x,o,o,o,b,x,negative
770,b,b,x,o,x,x,o,o,x,positive
771,x,o,x,b,o,b,x,o,b,negative
772,o,x,x,b,o,x,b,b,o,negative
773,o,x,o,x,x,b,o,x,b,positive
774,x,x,b,x,o,o,x,o,b,positive
775,o,b,b,o,x,o,x,x,x,positive
776,x,o,b,x,x,o,x,b,o,positive
777,x,x,o,b,o,o,x,x,o,negative
778,b,b,x,o,x,o,x,o,x,positive
779,x,x,x,o,o,x,o,x,o,positive
780,x,o,b,b,x,o,x,o,x,positive
781,o,b,b,x,x,x,o,o,x,positive
782,x,b,b,o,o,o,x,b,x,negative
783,b,o,x,o,x,b,x,x,o,positive
784,b,b,x,b,x,o,x,b,o,positive
785,x,x,x,b,o,b,x,o,o,positive
786,x,x,o,b,b,o,b,x,o,negative
787,o,x,o,o,x,x,x,o,x,negative
788,x,x,x,o,b,o,o,x,b,positive
789,b,x,o,x,o,o,o,x,x,negative
790,x,o,o,b,b,o,x,x,x,positive
791,x,o,b,x,o,x,o,o,x,negative
792,o,b,x,x,o,o,x,x,o,negative
793,b,x,o,b,x,x,o,x,o,positive
794,o,b,x,o,o,x,b,x,x,positive
795,x,o,b,x,x,x,o,o,b,positive
796,o,x,x,o,b,x,o,x,o,negative
797,x,x,x,b,o,o,o,b,x,positive
798,x,o,o,x,b,o,x,x,b,positive
799,b,x,o,x,o,x,o,b,b,negative
800,x,b,o,x,b,b,x,b,o,positive
801,o,b,o,x,x,o,x,x,o,negative
802,o,x,x,b,o,b,x,b,o,negative
803,x,o,o,x,x,o,x,b,b,positive
804,b,x,o,b,x,b,b,x,o,positive
805,x,o,x,o,o,x,o,x,x,positive
806,o,x,x,b,x,o,x,b,o,positive
807,b,b,o,x,o,b,o,x,x,negative
808,b,o,o,x,x,x,b,b,b,positive
809,x,b,o,x,x,o,b,o,x,positive
810,x,b,x,o,x,o,x,o,b,positive
811,o,b,x,o,b,x,x,o,x,positive
812,x,b,o,x,o,b,o,b,x,negative
813,o,o,x,o,b,b,x,x,x,positive
814,o,o,o,b,b,x,b,x,x,negative
815,o,x,b,o,x,b,x,x,o,positive
816,x,o,o,x,x,o,b,x,o,negative
817,x,b,x,b,x,b,o,o,o,negative
818,o,x,o,x,x,x,b,b,o,positive
819,o,x,o,x,x,x,o,b,b,positive
820,x,x,x,o,o,b,x,o,b,positive
821,o,x,x,x,o,b,x,o,o,negative
822,o,b,x,x,x,o,x,b,o,positive
823,x,b,b,b,x,b,o,o,x,positive
824,o,b,x,b,o,b,x,x,o,negative
825,x,o,x,o,o,o,x,x,b,negative
826,o,x,o,x,o,x,o,x,b,negative
827,x,x,x,b,o,b,o,o,x,positive
828,o,x,x,o,b,b,o,b,x,negative
829,o,b,x,o,x,x,o,b,b,negative
830,x,x,b,o,o,o,x,b,b,negative
831,b,x,x,o,o,x,b,o,x,positive
832,o,b,b,x,x,x,x,o,o,positive
833,o,o,x,x,x,x,o,o,x,positive
834,o,x,x,x,o,x,o,o,x,positive
835,x,o,o,x,x,o,x,o,x,positive
836,o,b,b,o,x,x,o,b,x,negative
837,b,o,x,x,o,b,x,o,b,negative
838,o,b,x,b,b,x,o,b,x,positive
839,x,b,o,o,x,o,x,b,x,positive
840,b,b,x,o,o,o,x,b,x,negative
841,o,b,x,o,x,o,x,b,x,positive
842,x,o,o,x,x,o,b,b,x,positive
843,x,o,x,o,o,o,b,x,x,negative
844,b,o,x,o,b,o,x,x,x,positive
845,b,b,b,x,x,x,o,o,b,positive
846,b,x,o,o,x,o,b,x,x,positive
847,x,x,o,o,x,b,b,x,o,positive
848,x,b,o,x,o,x,o,o,x,negative
849,x,b,o,b,x,x,o,o,x,positive
850,o,o,o,b,b,x,x,b,x,negative
851,x,x,x,x,b,o,o,o,b,positive
852,x,x,x,x,b,o,o,b,o,positive
853,b,b,o,b,b,o,x,x,x,positive
854,x,x,o,x,o,b,o,o,x,negative
855,o,x,x,o,o,x,x,b,o,negative
856,x,o,x,x,o,x,o,o,b,negative
857,b,o,x,o,o,b,x,x,x,positive
858,x,b,o,o,x,x,b,o,x,positive
859,x,o,o,b,x,b,b,b,x,positive
860,x,b,o,b,x,b,o,b,x,positive
861,x,x,x,o,b,b,o,x,o,positive
862,b,b,x,b,x,o,x,o,b,positive
863,o,x,o,x,x,o,b,x,b,positive
864,x,o,x,x,b,x,o,o,o,negative
865,o,x,o,b,o,x,o,x,x,negative
866,x,o,b,x,x,b,o,o,x,positive
867,x,x,x,b,o,o,x,b,o,positive
868,o,o,o,x,b,b,x,x,b,negative
869,b,o,b,o,o,x,x,x,x,positive
870,b,x,b,o,x,b,o,x,b,positive
871,o,o,x,x,x,b,x,b,o,positive
872,x,b,x,o,o,o,x,b,b,negative
873,x,o,x,x,o,o,x,b,b,positive
874,o,o,b,x,o,x,x,x,o,negative
875,x,x,o,o,o,x,o,b,x,negative
876,o,b,b,o,b,b,x,x,x,positive
877,o,o,x,x,b,x,b,o,x,positive
878,b,x,b,o,x,o,o,x,x,positive
879,x,x,x,o,x,b,o,o,b,positive
880,o,o,x,o,x,o,x,x,x,positive
881,b,o,x,x,o,x,o,b,x,positive
882,x,x,o,b,b,o,x,b,o,negative
883,x,x,o,o,o,o,b,x,x,negative
884,o,x,x,x,x,b,o,o,o,negative
885,x,b,o,b,x,o,o,x,x,positive
886,b,b,o,b,o,b,x,x,x,positive
887,b,x,o,o,x,x,o,x,b,positive
888,b,x,b,b,x,o,o,x,b,positive
889,b,o,x,x,o,b,b,o,x,negative
890,o,x,x,x,o,o,b,x,o,negative
891,x,o,x,x,o,b,b,o,b,negative
892,o,b,x,b,o,x,x,o,x,positive
893,x,x,x,b,o,o,o,x,b,positive
894,x,o,o,b,x,o,b,x,x,positive
895,x,o,o,x,b,x,x,o,b,positive
896,b,x,x,o,x,o,o,x,b,positive
897,o,b,x,o,x,x,o,x,o,negative
898,b,x,o,o,o,b,x,x,x,positive
899,x,x,x,o,b,b,o,o,x,positive
900,x,x,o,x,x,o,o,o,x,positive
901,b,o,x,o,x,x,b,o,x,positive
902,x,o,x,x,o,x,b,o,o,negative
903,b,o,o,x,x,x,b,x,o,positive
904,x,x,b,o,o,o,b,b,x,negative
905,b,o,o,x,x,x,x,b,o,positive
906,o,o,o,x,x,o,x,b,x,negative
907,o,x,x,b,o,x,b,o,x,positive
908,o,o,x,x,o,x,x,o,b,negative
909,o,o,x,o,x,x,x,x,o,positive
910,x,x,o,x,b,x,o,o,o,negative
911,o,b,x,b,x,b,x,o,b,positive
912,b,o,b,x,o,x,x,o,b,negative
913,x,o,x,b,o,x,o,b,x,positive
914,b,x,x,o,x,b,o,x,o,positive
915,x,b,x,b,b,x,o,o,o,negative
916,o,b,b,x,x,x,o,x,o,positive
917,x,o,o,x,x,b,x,b,o,positive
918,b,o,x,o,x,b,x,b,b,positive
919,x,x,o,x,o,o,x,b,b,positive
920,x,x,b,o,x,b,o,o,x,positive
921,x,b,o,x,o,x,x,b,o,positive
922,x,b,o,x,b,o,x,o,x,positive
923,o,x,x,b,o,x,o,x,o,negative
924,o,x,x,x,o,o,x,o,x,negative
925,x,o,b,b,o,x,b,o,x,negative
926,x,o,b,b,o,x,x,o,b,negative
927,x,o,x,b,o,x,x,o,o,negative
928,b,o,b,x,x,x,b,o,b,positive
929,o,o,o,x,o,x,b,x,x,negative
930,x,o,o,x,x,x,x,o,o,positive
931,b,o,o,x,o,b,x,x,x,positive
932,x,o,o,b,x,x,b,o,x,positive
933,b,o,x,x,x,b,x,o,o,positive
934,o,x,b,b,x,b,b,x,o,positive
935,x,b,o,x,x,x,o,b,o,positive
936,x,x,o,x,o,b,o,b,b,negative
937,x,b,o,o,x,b,x,o,x,positive
938,x,x,x,b,b,o,o,b,b,positive
939,x,b,o,b,o,b,o,x,x,negative
940,x,b,o,x,o,o,x,b,x,positive
941,b,x,x,o,b,x,o,o,x,positive
942,o,x,x,x,x,o,x,o,o,positive
943,o,o,x,b,x,x,b,o,x,positive
944,x,x,x,o,x,o,x,o,o,positive
945,o,b,b,b,o,b,x,x,x,positive
946,x,x,o,x,o,b,o,x,o,negative
947,x,x,b,o,x,o,o,x,b,positive
948,b,b,x,o,o,x,b,b,x,positive
949,o,x,x,o,x,x,o,b,o,negative
950,x,b,o,b,x,o,x,b,o,negative
951,o,x,x,b,b,x,o,o,x,positive
952,x,o,o,x,o,x,x,x,o,positive
953,o,o,x,x,x,x,x,o,o,positive
954,o,o,x,b,x,x,x,o,b,positive
955,x,x,x,o,o,x,o,o,x,positive
956,x,b,b,x,o,o,x,b,b,positive
957,x,x,o,b,o,b,o,x,b,negative
958,o,b,x,o,o,x,x,b,x,positive